,PlayerName,Committing_CC,Committing_IC,Committing_CNC,Committing_INC,Disadvantaged_CC,Disadvantaged_IC,Disadvantaged_CNC,Disadvantaged_INC,num_errors_in_favor,percent_errors_in_favor,num_errors_against,percent_errors_against
313,Rondae Hollis-Jefferson,4,0,17,0,3,0,13,4,0,0.0,4,9.76
314,Patrick Patterson,1,0,11,1,2,0,5,0,1,5.0,0,0.0
315,Gordon Hayward,6,0,27,1,8,0,22,2,1,1.52,2,3.03
316,Marco Belinelli,5,0,7,0,1,0,5,0,0,0.0,0,0.0
317,Rodney Hood,3,0,18,2,2,0,19,0,2,4.55,0,0.0
318,Romeo Langford,1,0,1,0,1,0,1,0,0,0.0,0,0.0
319,JaKarr Sampson,2,0,2,0,0,0,2,0,0,0.0,0,0.0
320,Jabari Parker,13,0,17,2,4,1,15,1,3,5.66,1,1.89
321,Jonas Valanciunas,6,0,58,3,3,0,20,2,3,3.26,2,2.17
322,Kyle Anderson,1,0,10,3,2,1,3,0,4,20.0,0,0.0
323,Pat Connaughton,4,0,13,0,1,0,12,1,0,0.0,1,3.23
324,JJ Redick,6,0,27,3,6,0,30,4,3,3.95,4,5.26
325,Langston Galloway,7,0,11,1,0,0,23,0,1,2.38,0,0.0
326,John Collins,6,1,67,3,6,0,29,3,3,2.61,4,3.48
327,Malcolm Brogdon,7,1,36,1,19,0,69,4,1,0.73,5,3.65
328,Ian Clark,0,0,4,0,0,0,4,0,0,0.0,0,0.0
329,Seth Curry,7,0,25,0,14,0,19,3,0,0.0,3,4.41
330,Donta Hall,1,0,0,0,0,0,0,0,0,0.0,0,0.0
331,Adam Mokoka,1,0,1,0,0,0,0,0,0,0.0,0,0.0
332,Bojan Bogdanovic,4,1,34,3,11,0,38,1,3,3.26,2,2.17
333,Tony Bradley,1,0,6,1,0,0,2,0,1,10.0,0,0.0
334,Cam Reddish,5,1,10,0,2,0,10,0,0,0.0,1,3.57
335,D'Angelo Russell,7,0,17,0,5,0,44,1,0,0.0,1,1.35
336,Luke Kennard,2,0,7,2,3,0,11,0,2,8.0,0,0.0
337,Gerald Green,0,0,1,0,0,0,1,0,0,0.0,0,0.0
338,Tristan Thompson,2,0,45,9,4,0,18,2,9,11.25,2,2.5
339,Cameron Reddish,1,0,1,0,0,0,0,0,0,0.0,0,0.0
340,Mitchell Robinson,7,0,31,0,1,0,10,3,0,0.0,3,5.77
341,Kevon Looney,1,0,14,0,0,0,3,0,0,0.0,0,0.0
342,Jazz,3,0,0,0,4,0,12,6,0,0.0,6,24.0
343,Moritz Wagner,4,0,5,1,2,0,2,0,1,7.14,0,0.0
344,Mike Muscala,0,0,6,1,0,0,0,1,1,12.5,1,12.5
345,Tobias Harris,18,0,55,4,18,0,54,1,4,2.67,1,0.67
