,PlayerName,Committing_CC,Committing_IC,Committing_CNC,Committing_INC,Disadvantaged_CC,Disadvantaged_IC,Disadvantaged_CNC,Disadvantaged_INC,num_errors_in_favor,percent_errors_in_favor,num_errors_against,percent_errors_against
29,Rodions Kurucs,1,0,5,1,0,0,0,0,1,14.29,0,0.0
30,Brook Lopez,5,0,21,1,4,0,7,1,1,2.56,1,2.56
31,Dwight Powell,2,1,16,1,2,0,8,0,1,3.33,1,3.33
32,Khyri Thomas,1,0,0,0,0,0,0,0,0,0.0,0,0.0
33,Enes Kanter,1,0,10,0,0,0,0,0,0,0.0,0,0.0
34,Wesley Matthews,4,0,15,0,1,0,10,0,0,0.0,0,0.0
35,Heat,2,0,1,0,7,0,14,10,0,0.0,10,29.41
36,Donte DiVincenzo,2,0,8,0,2,0,8,0,0,0.0,0,0.0
37,Chandler Hutchison,0,0,5,0,1,0,4,0,0,0.0,0,0.0
38,Yogi Ferrell,2,0,1,0,2,0,3,0,0,0.0,0,0.0
39,Justin Jackson,0,0,1,0,1,0,5,0,0,0.0,0,0.0
40,Eric Paschall,2,0,10,2,3,0,15,0,2,6.25,0,0.0
41,Terry Rozier,7,2,26,1,17,0,32,4,1,1.12,6,6.74
42,Pacers,3,0,0,0,4,0,10,4,0,0.0,4,19.05
43,Markelle Fultz,9,0,23,3,9,0,30,1,3,4.0,1,1.33
44,Justise Winslow,2,0,1,2,2,0,7,1,2,13.33,1,6.67
45,Kendrick Nunn,1,0,9,4,3,0,11,1,4,13.79,1,3.45
46,Patrick McCaw,3,0,8,1,0,0,3,0,1,6.67,0,0.0
47,Zach Collins,2,0,4,0,0,0,5,0,0,0.0,0,0.0
48,Jordan McRae,1,0,5,0,3,0,7,0,0,0.0,0,0.0
49,Kelan Martin,1,0,1,0,0,0,7,0,0,0.0,0,0.0
50,Otto Porter Jr.,2,0,7,0,1,0,5,0,0,0.0,0,0.0
51,Robert Williams III,4,0,3,0,2,0,0,0,0,0.0,0,0.0
52,Al-Farouq Aminu,0,0,1,0,0,0,0,0,0,0.0,0,0.0
53,Al Horford,8,0,40,4,2,0,17,1,4,5.56,1,1.39
54,Warriors,1,0,0,0,2,0,2,1,0,0.0,1,16.67
55,Terance Mann,1,0,6,0,3,0,6,1,0,0.0,1,5.88
56,James Johnson,3,0,15,0,0,0,3,1,0,0.0,1,4.55
57,Montrezl Harrell,4,1,38,1,4,0,18,1,1,1.49,2,2.99
58,Troy Brown Jr.,2,0,5,1,2,0,3,0,1,7.69,0,0.0
59,Daniel Theis,13,0,76,5,7,0,35,1,5,3.65,1,0.73
60,Sekou Doumbouya,1,0,2,0,0,0,0,0,0,0.0,0,0.0
61,Cameron Johnson,3,0,8,1,0,1,8,0,2,9.52,0,0.0
62,Ersan Ilyasova,2,0,6,0,1,0,0,1,0,0.0,1,10.0
63,Devonte' Graham,12,0,12,2,24,2,48,4,4,3.85,4,3.85
64,Bryn Forbes,4,0,19,3,2,0,13,0,3,7.32,0,0.0
65,Reggie Jackson,2,0,18,0,2,0,8,1,0,0.0,1,3.23
66,Delon Wright,3,0,13,1,4,0,13,0,1,2.94,0,0.0
67,T.J. Warren,7,0,26,5,13,0,45,3,5,5.05,3,3.03
68,Courtney Lee,1,0,0,0,0,0,0,0,0,0.0,0,0.0
69,Keldon Johnson,0,0,2,0,2,0,1,0,0,0.0,0,0.0
70,Eric Bledsoe,4,1,14,1,3,0,14,0,1,2.7,1,2.7
71,Myles Turner,6,0,50,1,5,1,15,2,2,2.5,2,2.5
72,Josh Okogie,6,0,14,0,3,0,17,3,0,0.0,3,6.98
73,Timothe Luwawu-Cabarrot,2,0,5,0,0,0,2,1,0,0.0,1,10.0
74,Dejounte Murray,6,0,12,1,0,1,14,3,2,5.41,3,8.11
75,Joe Ingles,8,1,29,1,4,0,32,0,1,1.33,1,1.33
76,Bruce Brown,5,0,13,0,3,0,14,0,0,0.0,0,0.0
77,Tyler Johnson,2,0,6,1,0,0,6,0,1,6.67,0,0.0
78,Buddy Hield,15,1,43,2,11,0,33,1,2,1.89,2,1.89
79,Noah Vonleh,0,0,2,1,0,0,1,0,1,25.0,0,0.0
80,Wizards,1,0,0,0,0,1,4,3,1,11.11,3,33.33
81,Landry Shamet,6,0,15,1,2,1,13,0,2,5.26,0,0.0
82,Nuggets,4,0,4,0,4,0,13,8,0,0.0,8,24.24
83,Terrance Ferguson,5,0,15,3,1,0,16,1,3,7.32,1,2.44
84,Donovan Mitchell,11,0,36,2,26,2,67,4,4,2.7,4,2.7
85,Kentavious Caldwell-Pope,5,1,18,0,5,0,15,0,0,0.0,1,2.27
86,Coby White,7,0,12,1,1,0,12,1,1,2.94,1,2.94
87,Malcolm Miller,1,0,0,0,0,0,0,1,0,0.0,1,50.0
88,Furkan Korkmaz,4,0,7,0,3,0,6,0,0,0.0,0,0.0
89,DeAndre Jordan,6,0,24,3,4,0,5,1,3,6.98,1,2.33
90,Jordan Clarkson,3,0,12,1,3,0,29,1,1,2.04,1,2.04
91,Goran Dragic,9,1,29,1,12,1,28,5,2,2.33,6,6.98
92,Caleb Swanigan,0,0,4,0,0,0,1,0,0,0.0,0,0.0
93,Danilo Gallinari,4,1,36,1,12,1,33,2,2,2.22,3,3.33
94,Abdel Nader,0,0,1,0,0,0,2,0,0,0.0,0,0.0
95,Michael Frazier,1,0,1,0,0,0,0,0,0,0.0,0,0.0
96,Derrick White,10,0,29,0,9,0,43,1,0,0.0,1,1.09
97,Andrew Wiggins,4,1,14,3,3,0,24,0,3,6.12,1,2.04
98,Raptors,2,0,0,0,6,0,11,4,0,0.0,4,17.39
99,Caris LeVert,6,0,15,1,7,0,25,1,1,1.82,1,1.82
100,Brad Wanamaker,2,0,4,0,1,0,2,0,0,0.0,0,0.0
101,Deandre Ayton,6,0,22,0,5,0,8,0,0,0.0,0,0.0
102,Josh Richardson,9,0,31,3,7,0,25,3,3,3.85,3,3.85
103,Fred VanVleet,3,1,38,4,12,1,33,1,5,5.38,2,2.15
104,Josh Hart,16,0,13,1,6,0,18,1,1,1.82,1,1.82
105,Frank Mason,0,0,1,0,0,0,4,0,0,0.0,0,0.0
106,Kelly Olynyk,4,0,2,0,1,0,4,0,0,0.0,0,0.0
107,Steven Adams,7,0,85,7,9,1,30,2,8,5.67,2,1.42
108,Collin Sexton,15,0,24,0,18,1,61,4,1,0.81,4,3.25
109,OG Anunoby,9,2,31,2,6,0,21,0,2,2.82,2,2.82
110,Kris Dunn,9,1,21,3,4,0,26,1,3,4.62,2,3.08
111,Rajon Rondo,0,0,3,0,0,0,3,1,0,0.0,1,14.29
112,PJ Dozier,2,0,5,0,2,0,5,0,0,0.0,0,0.0
113,LaMarcus Aldridge,4,0,43,5,11,1,26,2,6,6.52,2,2.17
114,Ivica Zubac,1,0,1,0,0,0,6,0,0,0.0,0,0.0
115,Troy Daniels,0,0,3,0,0,0,2,0,0,0.0,0,0.0
116,Torrey Craig,7,0,12,0,2,0,14,0,0,0.0,0,0.0
117,Darius Bazley,0,0,1,0,1,0,5,0,0,0.0,0,0.0
118,Chris Paul,15,0,60,6,23,1,62,3,7,4.12,3,1.76
119,Marcus Smart,17,0,43,4,7,1,52,1,5,4.0,1,0.8
120,Kemba Walker,7,0,27,1,13,2,44,1,3,3.16,1,1.05
121,J.J. Barea,0,0,3,1,0,0,2,0,1,16.67,0,0.0
122,Justin James,2,0,0,0,0,0,0,0,0,0.0,0,0.0
123,Reggie Bullock,3,0,7,0,1,0,6,0,0,0.0,0,0.0
124,Meyers Leonard,0,0,2,0,1,0,1,0,0,0.0,0,0.0
125,Mike Conley,4,0,13,1,5,1,15,0,2,5.13,0,0.0
126,P.J. Tucker,11,1,35,3,2,1,23,0,4,5.26,1,1.32
127,Frank Jackson,1,0,7,0,1,0,8,0,0,0.0,0,0.0
128,Treveon Graham,2,0,8,1,1,0,15,1,1,3.57,1,3.57
129,Jeff Teague,4,0,4,0,3,0,12,1,0,0.0,1,4.17
130,De'Anthony Melton,2,0,3,0,4,1,5,0,1,6.67,0,0.0
131,Chris Boucher,0,0,1,0,2,0,0,0,0,0.0,0,0.0
132,Evan Turner,0,0,1,0,0,0,0,0,0,0.0,0,0.0
133,Trevor Ariza,1,0,12,0,1,0,15,2,0,0.0,2,6.45
134,Cory Joseph,4,1,35,3,3,0,17,2,3,4.62,3,4.62
135,Rodney McGruder,1,0,5,1,0,0,4,2,1,7.69,2,15.38
136,Bucks,2,0,0,0,1,0,2,1,0,0.0,1,16.67
137,Nick Nurse,0,0,1,0,0,0,0,0,0,0.0,0,0.0
138,Zach LaVine,13,0,20,7,19,2,53,7,9,7.44,7,5.79
139,Mike Scott,3,0,0,0,0,0,1,0,0,0.0,0,0.0
140,Jeff Green,1,0,6,0,1,0,5,0,0,0.0,0,0.0
141,Gorgui Dieng,1,0,12,1,3,0,3,1,1,4.76,1,4.76
142,Dillon Brooks,12,0,29,2,1,0,24,0,2,2.94,0,0.0
143,Ben Simmons,10,1,36,5,7,0,32,1,5,5.43,2,2.17
144,James Harden,10,1,58,2,37,1,59,5,3,1.73,6,3.47
145,David Nwaba,0,0,1,0,0,0,1,0,0,0.0,0,0.0
146,Clippers,2,0,1,0,4,0,12,8,0,0.0,8,29.63
147,Duncan Robinson,4,0,9,3,4,0,12,2,3,8.82,2,5.88
148,Darius Garland,1,0,9,4,4,0,10,2,4,13.33,2,6.67
149,Damian Lillard,5,0,29,2,22,0,61,5,2,1.61,5,4.03
150,Austin Rivers,1,0,2,0,0,0,4,0,0,0.0,0,0.0
151,Kyrie Irving,3,0,19,2,3,0,31,0,2,3.45,0,0.0
152,Grant Williams,2,0,17,0,2,0,4,1,0,0.0,1,3.85
153,Stephen Curry,0,0,1,0,1,0,0,0,0,0.0,0,0.0
154,Doc Rivers,0,0,0,0,0,0,0,0,0,0.0,0,0.0
155,Cody Martin,1,0,10,1,3,1,6,0,2,9.09,0,0.0
156,Joe Harris,9,0,40,1,9,1,31,4,2,2.11,4,4.21
157,Josh Jackson,1,0,4,0,0,0,3,0,0,0.0,0,0.0
158,Rudy Gobert,20,0,70,7,11,1,55,4,8,4.76,4,2.38
